chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1742634035,2025-03-22T09:00:35Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634039,2025-03-22T09:00:39Z,HG4HNA-1,HG7PDK-2,7(3/2),0,T,HG4HNA-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=171, A1=188, A2=31, A3=4, A4=93, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634072,2025-03-22T09:01:12Z,OM0ODX,HG7PDK-2,5(2/2),0,@,OM0ODX,I#,48.041833,18.416833,,,,438.100,,,SQ3PLX http://microsat.com.pl/,,,DMR HotSpot 438.100MHz - APRS Digipeater/iGate
0,1742634096,2025-03-22T09:01:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634123,2025-03-22T09:02:03Z,HG1DFB-1,HG7PDK-2,8(3/2),0,<,HG1DFB-1,/a,,,,,,,,,jAPRSIgate,,,"IGATE,MSG_CNT=1,LOC_CNT=0"
0,1742634129,2025-03-22T09:02:09Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634143,2025-03-22T09:02:23Z,HG5PBP-1,HG5PBP-1,6(2/2),0,@,HG5PBP-1,/#,47.493833,18.987500,,,,,,,SQ3PLX http://microsat.com.pl/,,," Budapest (ASL: 442m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634145,2025-03-22T09:02:25Z,HG5PBP-1,HG7PDK-2,5(2/2),0,@,HG5PBP-1,/#,47.493833,18.987500,,,,,,,SQ3PLX http://microsat.com.pl/,,," Budapest (ASL: 442m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634149,2025-03-22T09:02:29Z,HG7PDK-2,HG7PDK-2,10(3/3),0,T,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=207, A1=182, A2=42, A3=24, A4=78, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634151,2025-03-22T09:02:31Z,HG7PDK-2,HG5PBP-1,10(4/2),0,T,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=207, A1=182, A2=42, A3=24, A4=78, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634155,2025-03-22T09:02:35Z,HG2PTH-2,HG7PDK-2?,5(2/2),0,@,HG2PTH-2,2#,46.920667,17.881000,,,,,,,SQ3PLX http://microsat.com.pl/,,," TIHANY (ASL: 205m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634159,2025-03-22T09:02:39Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634174,2025-03-22T09:02:54Z,YO2DA-2,HG7PDK-2?,5(2/2),0,@,YO2DA-2,/#,46.265167,21.663667,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate/Digi Siria U=13.1V http://yo2loj.go.ro/yo2da-2
